barcode01_concatenated_racon-11430-8,d__Bacteria;,98.631,1461,10,5,0.0,2532,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-115-106,d__Bacteria;,96.177,1465,49,7,0.0,2365,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-115-106,d__Bacteria;,96.175,1464,49,7,0.0,2363,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-115-106,d__Bacteria;,96.175,1464,49,7,0.0,2363,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-115-106,d__Bacteria;,95.907,1466,55,4,0.0,2360,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode01_concatenated_racon-115-106,d__Bacteria;,96.107,1464,50,7,0.0,2359,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-115-106,d__Bacteria;,96.038,1464,51,7,0.0,2354,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-115-106,d__Bacteria;,96.038,1464,51,7,0.0,2354,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-115-106,d__Bacteria;,96.038,1464,51,7,0.0,2354,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-115-106,d__Bacteria;,96.038,1464,51,7,0.0,2354,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode01_concatenated_racon-115-106,d__Bacteria;,95.970,1464,53,6,0.0,2353,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-115-106,d__Bacteria;,95.970,1464,52,7,0.0,2350,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode01_concatenated_racon-115-106,d__Bacteria;,95.970,1464,52,7,0.0,2350,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-115-106,d__Bacteria;,95.970,1464,52,7,0.0,2350,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode01_concatenated_racon-115-106,d__Bacteria;,95.913,1468,52,8,0.0,2349,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-115-106,d__Bacteria;,96.311,1464,39,14,0.0,2348,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-115-106,d__Bacteria;,95.833,1464,56,5,0.0,2348,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode01_concatenated_racon-115-106,d__Bacteria;,95.904,1465,53,7,0.0,2347,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_heilongjiangensis
barcode01_concatenated_racon-128-62,d__Bacteria;,99.249,1464,10,1,0.0,2588,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-128-62,d__Bacteria;,99.169,1444,11,1,0.0,2547,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode01_concatenated_racon-128-62,d__Bacteria;,98.743,1432,10,4,0.0,2491,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-128-62,d__Bacteria;,98.668,1426,17,2,0.0,2480,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-128-62,d__Bacteria;,97.403,1463,37,1,0.0,2464,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-128-62,d__Bacteria;,98.906,1371,14,1,0.0,2402,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode01_concatenated_racon-128-62,d__Bacteria;,96.172,1463,53,3,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-128-62,d__Bacteria;,96.172,1463,53,3,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-128-62,d__Bacteria;,96.172,1463,53,3,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-128-62,d__Bacteria;,95.975,1466,56,2,0.0,2372,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode01_concatenated_racon-128-62,d__Bacteria;,96.104,1463,54,3,0.0,2371,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-128-62,d__Bacteria;,96.036,1463,55,3,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-128-62,d__Bacteria;,96.036,1463,55,3,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-128-62,d__Bacteria;,96.036,1463,55,3,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-128-62,d__Bacteria;,96.036,1463,55,3,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode01_concatenated_racon-128-62,d__Bacteria;,95.967,1463,57,2,0.0,2366,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-128-62,d__Bacteria;,95.967,1463,56,3,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode01_concatenated_racon-128-62,d__Bacteria;,95.967,1463,56,3,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-128-62,d__Bacteria;,95.967,1463,56,3,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode01_concatenated_racon-128-62,d__Bacteria;,95.830,1463,60,1,0.0,2360,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode01_concatenated_racon-128-62,d__Bacteria;,95.899,1463,57,3,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
barcode01_concatenated_racon-128-62,d__Bacteria;,95.899,1463,57,3,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_honei
barcode01_concatenated_racon-128-62,d__Bacteria;,95.899,1463,57,3,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_heilongjiangensis
barcode01_concatenated_racon-166-65,d__Bacteria;,99.181,1466,9,2,0.0,2584,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-166-65,d__Bacteria;,99.101,1446,10,2,0.0,2544,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode01_concatenated_racon-166-65,d__Bacteria;,98.675,1434,9,5,0.0,2488,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-166-65,d__Bacteria;,98.599,1428,16,3,0.0,2477,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-166-65,d__Bacteria;,97.408,1466,33,4,0.0,2460,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-166-65,d__Bacteria;,98.835,1373,13,2,0.0,2398,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode01_concatenated_racon-166-65,d__Bacteria;,96.180,1466,49,6,0.0,2371,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-166-65,d__Bacteria;,96.180,1466,49,6,0.0,2371,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-166-65,d__Bacteria;,96.180,1466,49,6,0.0,2371,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-166-65,d__Bacteria;,95.913,1468,55,3,0.0,2369,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode01_concatenated_racon-166-65,d__Bacteria;,96.112,1466,50,6,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-166-65,d__Bacteria;,96.044,1466,51,6,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-166-65,d__Bacteria;,96.044,1466,51,6,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-166-65,d__Bacteria;,96.044,1466,51,6,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-166-65,d__Bacteria;,96.044,1466,51,6,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode01_concatenated_racon-166-65,d__Bacteria;,95.975,1466,53,5,0.0,2361,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-166-65,d__Bacteria;,95.975,1466,52,6,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode01_concatenated_racon-166-65,d__Bacteria;,95.975,1466,52,6,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-166-65,d__Bacteria;,95.975,1466,52,6,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode01_concatenated_racon-166-65,d__Bacteria;,95.839,1466,56,4,0.0,2356,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode01_concatenated_racon-166-65,d__Bacteria;,95.916,1469,52,7,0.0,2355,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-166-65,d__Bacteria;,95.907,1466,53,6,0.0,2353,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
barcode01_concatenated_racon-166-65,d__Bacteria;,95.907,1466,53,6,0.0,2353,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_honei
barcode01_concatenated_racon-1778-27,d__Bacteria;,99.316,1462,9,1,0.0,2589,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-1778-27,d__Bacteria;,99.238,1444,10,1,0.0,2552,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_limoniae
barcode01_concatenated_racon-1778-27,d__Bacteria;,98.813,1432,9,4,0.0,2496,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-1778-27,d__Bacteria;,98.738,1426,16,2,0.0,2485,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_endosymbiont
barcode01_concatenated_racon-1778-27,d__Bacteria;,97.538,1462,33,3,0.0,2464,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-1778-27,d__Bacteria;,98.979,1371,13,1,0.0,2406,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsiaceae
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.306,1462,49,5,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.306,1462,49,5,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.306,1462,49,5,0.0,2376,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.038,1464,55,2,0.0,2373,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_Rickettsia
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.238,1462,50,5,0.0,2371,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.170,1462,51,5,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.170,1462,51,5,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.170,1462,51,5,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_canadensis
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.170,1462,51,5,0.0,2367,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_slovaca
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.101,1462,53,4,0.0,2366,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_bellii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.101,1462,52,5,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_raoultii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.101,1462,52,5,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_massiliae
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.101,1462,52,5,0.0,2362,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_peacockii
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.044,1466,52,6,0.0,2361,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__uncultured_bacterium
barcode01_concatenated_racon-1778-27,d__Bacteria;,95.964,1462,56,3,0.0,2360,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_sibirica
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.448,1464,39,13,0.0,2360,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsiaceae; s__uncultured_Rickettsia
barcode01_concatenated_racon-1778-27,d__Bacteria;,96.033,1462,53,5,0.0,2358,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__Rickettsia_rickettsii
